customer_id,purchase_id,value,expenses,profit,bought_by,payment_method,purchase_date
1081,P100000,$1239.56,475.65,763.91,Buy Local,Cash,31/02/2025
1027,P100001,2815.0,error,761.1399999999999,Desktop,Credit Card,17/09/2024
1089,P100002,$1092.26,,264.22,Cellphone,PIX,2024/07/12
1068,P100003,412.42,196.27,216.15,Computer,credit card,99/99/9999
1098,P100001,unknown,2289.26,random,Store,PIX,2025-01-22
1077,P100005,"1239,16",715.44,523.72,Computer,Pix,2024-12-30
1029,P100006,2017.8,685.47,1332.33,Computer,Money,2024/12/13
1018,P100007,2815.61,1288.55,1527.0600000000002,Computer,CREDIT,2024-10-09
1096,P100008,error,"R$2437,91",706.77,Phone,cash,01-16-2026
1001,P100009,4426.25,-3322.02,1104.23,Pc,Money,
1064,P100010,549.93,371.3,random,BUY LOCAL,cash,11-30-2025
1041,P100011,1827.64,"1628,78",198.86000000000013,Buy Local,credit card,2026/01/19
1008,P100012,646.29,$449.72,196.56999999999994,Buy Local,Cash,05-16-2026
1096,P100013,1572.35,error,161.80999999999995,pc,Debit,Aug 20 2025
1002,P100014,1116.68,"382,57",734.1100000000001,Cellphone,credit card,Aug 29 2024
1085,P100015,3622.3,"3004,44",617.8600000000001,cellphone,Debit,2025/09/24
1045,P100016,3650.8,"R$2570,23",1080.5700000000002,Cellphone,credit card,16/05/2025
1068,P100017,1407.15,unknown,774.1000000000001,BUY LOCAL,credit card,31/02/2025
1011,P100018,"848,23",error,-112,cellphone,PIX,2024/07/16
1036,P100019,4977.2,$3152.86,1824.3399999999997,PC,cash,Sep 03 2024
1007,P100020,"R$4598,55",2845.01,1753.54,pc,credit card,09/12/2024
1051,P100021,1246.15,error,427.7900000000001,BUY LOCAL,Pix,20/12/2024
1085,P100022,"1991,01",-1399.71,591.3,pc,Credit Card,07-20-2025
1012,P100023,1340.7,1152.94,187.76,Pc,Money,Oct 03 2025
1078,P100024,2654.12,1859.79,random,Desktop,credit card,07-13-2024
1019,P100025,3593.71,"1517,11",2076.6000000000004,PC,credit card,Sep 01 2025
1005,,"3860,17",2633.67,1226.5,cellphone,cash,31/02/2025
1088,P100027,$4176.28,$2712.52,1463.7599999999998,PC,Pix,31/12/2025
1085,P100028,4422.99,$2405.34,2017.6499999999996,Pc,CREDIT,2025-11-09
1022,P100029,4655.46,3637.5,1017.96,pc,Cash,2025/12/19
1028,P100030,1761.3,"1395,52",365.78,cellphone,Pix,2025-08-20
1098,P100031,2010.4,1786.62,999,Pc,PIX,2035-01-01
1044,P100032,,1844.18,1194.74,cellphone,Credit Card,12-11-2024
1087,P100033,"R$3359,73",1742.13,1617.6,Cellphone,credit card,Jun 06 2025
1064,P100034,$2023.95,error,1057.73,Store,CREDIT,Sep 23 2025
1051,P100019,1066.71,-822.92,243.79000000000008,Store,Debit,25/01/2025
1084,P100036,3172.05,1589.56,1582.4900000000002,Computer,Debit,2026-03-13
1031,P100037,3847.08,2205.34,1641.7399999999998,cellphone,Money,29/04/2026
1083,P100038,4304.99,"3578,65",726.3399999999997,BUY LOCAL,Money,99/99/9999
1015,P100039,3344.54,2985.79,358.75,Buy Local,cash,02-02-2026
1057,P100040,"2383,88",1085.89,1297.99,BUY LOCAL,Money,Mar 10 2026
1056,P100041,1373.14,$675.35,697.7900000000001,Pc,Debit,2024/10/25
1042,P100042,1050.04,579.71,470.3299999999999,Buy Local,Cash,Dec 17 2025
1038,P100043,4768.08,2629.18,2138.9,Computer,Money,2025/05/17
1062,,error,$1198.43,495.5,Pc,cash,2035-01-01
1075,P100029,"R$695,78",,294.29999999999995,Cellphone,Pix,2025/01/24
1035,P100046,"R$1276,31",445.62,830.6899999999999,Cellphone,Debit,2024-10-21
1096,P100047,"4199,36",999999,random,Phone,PIX,07/12/2024
1077,P100048,590.37,$467.33,,cellphone,Debit,06/02/2026
1013,P100049,3427.61,2684.9,,Store,Pix,Mar 11 2025
1001,P100050,545.58,478.19,67.39000000000004,cellphone,CREDIT,Sep 10 2024
1078,P100051,2427.82,"1362,84",1064.9800000000002,pc,PIX,03/09/2024
1096,P100052,1907.37,$605.06,1302.31,Desktop,Pix,04-14-2025
1089,P100053,"2592,8",error,1517.7400000000002,Computer,Money,2024/09/06
1057,P100054,-1123.55,803.42,320.13,BUY LOCAL,Pix,03-28-2025
1042,P100055,1546.98,-678.08,868.9,Pc,Debit,2026/04/12
1035,P100056,$2632.69,$1236.84,1395.8500000000001,Pc,PIX,99/99/9999
1035,P100019,3493.14,1312.61,2180.5299999999997,Buy Local,PIX,2025/10/04
1043,P100032,588.15,199.5,388.65,Pc,CREDIT,Jan 14 2025
1010,P100059,3826.93,"2540,28",1286.6499999999996,Phone,Money,03-11-2026
1054,P100060,3055.96,"2273,8",782.1599999999999,Store,credit card,26/07/2024
1070,P100030,"R$3453,07","2009,51",1443.5600000000002,Phone,credit card,Jan 10 2026
1100,P100062,$4023.45,"1684,58",random,pc,Credit Card,Jun 14 2025
1076,P100063,1457.28,545.91,911.37,BUY LOCAL,cash,2025-08-13
1076,P100064,"R$1625,16",731.68,893.4800000000001,Buy Local,Credit Card,Sep 27 2024
1073,P100065,2363.09,$1632.67,730.4200000000001,Store,Money,2026/06/09
1044,P100066,error,214.47,326.43999999999994,cellphone,cash,31/02/2025
1040,P100067,3867.29,"R$3167,1",700.19,Phone,Cash,
1079,P100068,3804.75,1606.12,2198.63,Phone,credit card,99/99/9999
1090,P100069,2770.21,985.99,1784.22,pc,CREDIT,Feb 05 2025
1065,P100070,unknown,$1413.33,random,pc,PIX,2026/03/29
1043,P100071,"4106,34",1928.76,2177.58,Phone,CREDIT,2025/10/24
1044,P100072,1898.51,1632.17,266.3399999999999,cellphone,Debit,2025/10/16
1005,P100073,4568.88,2415.74,2153.1400000000003,Pc,Money,11/05/2026
1064,P100074,"R$519,82",419.51,,Store,CREDIT,Apr 23 2026
1043,P100075,419.97,208.78,211.19000000000003,Store,Money,2025-03-30
1079,P100076,4606.23,error,148,Phone,CREDIT,2025-09-14
1005,P100050,1886.71,730.8,1155.91,Pc,CREDIT,2024/11/19
1079,P100078,2924.12,unknown,1639.52,Phone,PIX,22/12/2025
1009,P100079,error,"2013,26",932.8500000000001,Computer,Cash,2024-08-16
1030,P100080,"R$1493,44",1074.63,418.80999999999995,PC,Credit Card,2024/07/28
1036,P100081,$4013.62,"1731,49",2282.13,Store,CREDIT,2025-11-18
1039,P100051,"3667,15",1298.46,999,BUY LOCAL,cash,17/12/2024
1032,P100083,4837.57,2307.93,2529.64,pc,CREDIT,13/02/2026
1086,P100084,,3786.17,49,Phone,Pix,Feb 02 2025
1074,P100085,999999,1318.12,551.8200000000002,Cellphone,Debit,2024/08/23
1089,P100086,-716.09,621.39,random,cellphone,Money,04-18-2026
1053,P100087,4429.36,3069.34,1360.0199999999995,Desktop,Credit Card,20/12/2024
1056,P100088,,1622.66,203.51999999999998,PC,Cash,2026-04-27
1058,P100089,"R$3204,67",-2828.62,376.0500000000002,Buy Local,Debit,09-09-2024
1026,P100090,1180.33,902.51,277.81999999999994,Pc,CREDIT,14/04/2025
1014,P100001,1804.05,"R$1394,64",409.40999999999985,Pc,Cash,2025-01-24
1060,P100092,"2976,46",1700.16,1276.3,Store,cash,2025-06-10
1007,P100093,2142.84,unknown,1361.1800000000003,Cellphone,CREDIT,Oct 29 2025
1079,P100094,1639.42,unknown,169.23000000000002,pc,credit card,04-01-2026
1092,P100095,4442.69,,2006.8199999999997,Cellphone,Cash,Apr 02 2025
1047,P100096,"R$2381,85",error,1536.92,Cellphone,CREDIT,10-27-2024
1071,P100097,2065.83,error,363.25,PC,PIX,Apr 06 2025
1013,P100098,$3290.55,1429.9,1860.65,Desktop,Debit,03-25-2025
1098,P100099,3220.64,1016.92,2203.72,Pc,PIX,Dec 02 2024
1043,P100100,"R$733,39",509.27,224.12,pc,cash,2025/11/25
1058,P100101,3613.55,"R$2768,35",-339,Store,credit card,2025/01/16
1062,P100102,-1093.53,$664.22,429.30999999999995,Buy Local,Money,Dec 20 2025
1005,P100103,292.81,123.76,169.05,Desktop,Pix,2026/06/20
1095,P100104,2672.26,1170.63,1501.63,cellphone,Credit Card,2025/12/05
1009,P100105,error,$2086.77,random,Buy Local,Money,Nov 08 2025
1011,P100106,"R$2189,67",1183.01,1006.6600000000001,Computer,Pix,2024-08-17
1065,P100107,-985.64,754.74,230.89999999999998,Pc,Debit,Oct 09 2025
1025,P100108,3800.58,1312.01,2488.5699999999997,Buy Local,Money,10-29-2025
1082,P100109,$4323.95,"R$2924,42",1399.5299999999997,Desktop,PIX,Nov 02 2024
1064,P100110,"207,28",108.04,99.24,pc,cash,08-11-2025
1070,P100111,224.29,$189.62,34.66999999999999,BUY LOCAL,CREDIT,2026/01/10
1013,P100112,4912.28,"R$1722,23",3190.0499999999997,Phone,cash,30/12/2024
1046,P100113,2055.67,1034.04,1021.6300000000001,pc,Pix,2024/10/27
1036,P100114,$4822.76,"R$3190,84",1631.92,Cellphone,PIX,2025/06/17
1016,P100115,1561.72,821.48,740.24,Store,cash,2025/04/13
1065,P100116,917.71,393.25,524.46,Pc,CREDIT,2025-01-18
1064,P100117,-4420.74,1426.35,random,Pc,CREDIT,06-11-2026
1021,P100051,unknown,"1499,38",1888.9099999999999,Phone,Debit,Nov 02 2025
1100,P100119,1851.85,999999,243.92999999999984,cellphone,cash,09/12/2025
1025,P100120,1265.02,866.17,366,Desktop,credit card,Aug 29 2025
1057,P100121,"2198,61",unknown,290.5500000000002,PC,Cash,
1030,P100122,"R$1138,2",559.1,579.1,Pc,CREDIT,2035-01-01
1089,P100123,2356.17,"R$1576,77",779.4000000000001,Pc,cash,03-01-2025
1067,P100124,"1203,45",449.02,754.4300000000001,pc,credit card,2026/04/08
1076,P100125,"2883,74","R$2108,38",775.3599999999997,Buy Local,Cash,2026-02-09
1067,P100075,2729.53,"R$2106,78",622.75,PC,Cash,Feb 15 2026
1095,,3946.83,2000.58,1946.25,Cellphone,CREDIT,
1082,P100128,2333.82,1673.89,,PC,PIX,17/12/2024
1005,P100129,999999,"R$1580,98",422.18000000000006,Desktop,Pix,2026-03-23
1083,P100130,1852.74,1544.61,308.1300000000001,Pc,Money,Jul 17 2024
1066,P100131,2134.01,$1191.55,942.4600000000003,pc,credit card,Mar 10 2026
1039,P100132,unknown,481.33,368.56,Buy Local,Cash,2025-02-23
1009,P100133,$2575.17,"R$1931,22",643.95,Store,Money,31/02/2025
1030,P100134,1926.61,1233.7,692.9099999999999,Cellphone,Money,01-16-2025
1017,P100135,$3254.81,1463.91,1790.8999999999999,cellphone,cash,Aug 13 2024
1090,P100136,1442.17,$1225.68,216.49,Phone,CREDIT,2024/12/03
1011,P100137,4933.14,3456.67,1476.4700000000003,Desktop,CREDIT,02/06/2026
1046,P100138,1020.88,"R$391,33",629.55,Cellphone,Money,09-06-2025
1016,P100139,1560.27,1403.86,156.41000000000008,Buy Local,credit card,May 04 2026
1082,P100140,2596.45,978.86,1617.5899999999997,Pc,Cash,2026-01-01
1015,P100141,"826,6",711.57,115.02999999999997,Desktop,credit card,02-22-2025
1035,P100142,$2676.72,1610.16,999,Buy Local,Credit Card,2024-12-05
1010,P100143,2892.32,error,894.6600000000001,Phone,cash,Nov 14 2025
1061,P100144,2042.34,$1168.48,873.8599999999999,Phone,Debit,15/07/2025
1040,P100145,,2505.86,2434.4999999999995,pc,Pix,2025-04-26
1034,P100146,272.01,error,36.109999999999985,Pc,Pix,May 11 2026
1024,P100147,-2583.33,"R$1548,08",1035.25,BUY LOCAL,Money,03/06/2026
1074,P100140,2995.64,"2413,62",,Pc,PIX,2025/11/04
1046,P100054,,unknown,961.6799999999998,Buy Local,credit card,2025-06-14
1050,P100150,$2798.0,1453.18,1344.82,PC,Credit Card,
1060,P100151,4467.8,-1715.05,2752.75,Buy Local,PIX,01-14-2025
1065,P100152,,1194.41,318.54999999999995,Buy Local,PIX,2024-10-09
1076,P100153,3918.86,3000.66,918.2000000000003,Pc,cash,12-31-2024
1099,P100154,3410.02,$1087.6,,Pc,Cash,2026/01/22
1064,P100155,"R$4366,63",$3237.87,1128.7600000000002,Cellphone,Money,Sep 02 2025
1022,P100156,2740.44,1933.44,807.0,Desktop,Money,15/08/2025
1035,P100157,"4865,09","2328,28",2536.81,Cellphone,Money,Jan 13 2025
1036,P100158,1910.88,1697.05,213.83000000000015,Desktop,Credit Card,2026-01-24
1044,P100159,3741.75,"1602,94",2138.81,Desktop,CREDIT,09-20-2025
1030,P100160,"R$2664,59",error,845.3000000000002,pc,CREDIT,99/99/9999
1052,P100161,2388.98,"1649,17",739.81,PC,credit card,21/05/2026
1068,P100162,error,175.48,30.27000000000001,PC,Cash,19/09/2025
1095,P100163,4386.18,$1340.24,3045.9400000000005,Desktop,Money,04-29-2025
1067,P100164,$4258.28,$2473.26,999,Pc,Credit Card,Mar 31 2025
1072,P100165,error,error,970.1100000000001,cellphone,credit card,10/12/2024
1061,P100166,1318.71,581.96,736.75,Buy Local,Credit Card,Oct 08 2024
1088,P100167,2337.67,925.32,1412.35,Desktop,credit card,Jul 23 2025
1047,P100168,685.17,268.53,416.64,BUY LOCAL,Money,11/07/2025
1097,P100169,unknown,1525.04,77,PC,cash,01/09/2024
1073,P100170,4275.34,2416.01,1859.33,BUY LOCAL,Money,2026/01/31
1016,P100171,307.53,177.58,129.94999999999996,PC,Debit,2024-07-29
1054,P100016,4674.22,"R$1595,83",3078.3900000000003,Pc,Cash,2026/04/22
1057,P100173,1890.71,1341.72,548.99,Cellphone,credit card,09-16-2024
1050,P100174,"R$1129,0","341,05",787.95,BUY LOCAL,Cash,19/10/2024
1031,P100175,958.63,"R$790,99",167.64,Buy Local,Credit Card,2025-10-23
1012,P100176,"3366,68","R$2771,88",594.7999999999997,BUY LOCAL,Debit,2024-10-25
1017,P100177,-4082.62,3016.69,1065.9299999999998,Cellphone,Debit,28/02/2026
1084,P100178,1390.27,881.47,,BUY LOCAL,Money,
1082,P100179,$1607.3,,723.6099999999999,Phone,Debit,May 16 2025
1090,P100180,error,168.1,138.87000000000003,Desktop,Debit,2025-09-29
1057,P100181,"3628,43",1503.22,2125.21,pc,Debit,08-11-2024
1092,P100182,-1060.27,895.1,165.16999999999996,Computer,credit card,2025/04/17
1031,P100183,-1995.23,"885,08",1110.15,Store,Pix,Apr 15 2025
1065,P100184,4018.03,-2947.02,1071.0100000000002,Cellphone,Cash,99/99/9999
1094,P100185,error,$3027.06,1648.0400000000004,cellphone,Debit,Jun 21 2025
1032,P100186,999999,2694.87,928.4500000000003,Pc,cash,08-07-2025
1082,P100187,4198.56,"R$1446,82",random,pc,CREDIT,2035-01-01
1047,P100188,4670.84,"R$3959,24",711.6000000000004,cellphone,Credit Card,
1068,P100122,$4034.72,"R$3412,82",999,Cellphone,PIX,2026-04-22
1047,P100190,"1231,18",884.41,378,pc,Cash,07-01-2024
1060,P100048,431.78,-348.53,83.25,pc,cash,03/12/2025
1027,P100192,2842.59,1315.14,1527.45,BUY LOCAL,Credit Card,Jan 03 2026
1002,P100193,,"R$2740,41",,Store,cash,19/09/2024
1088,P100194,error,1618.61,3253.5200000000004,Buy Local,Cash,Dec 04 2025
1003,P100195,2263.74,,,pc,PIX,2026-05-11
1010,P100196,,,999,Phone,Pix,2025-08-14
1016,P100197,$2793.79,"R$1697,13",1096.6599999999999,Buy Local,Pix,2026-01-27
1037,P100198,3629.72,"2307,49",1322.23,Store,Cash,Jan 16 2025
1038,P100199,"852,69",396.99,455.70000000000005,Computer,Money,09/02/2026
